SMILES,Catalog ID
C1=CN(C=N1)C=2C=CC(=CC2)CNCC3=CN4CCCCCC4=N3,Z3800756729
CN1N=C(C2=NN=C(COC3CCCCC3)O2)C=4C=CC=CC4C1=O,Z1664065107
COC1=CN=C(NC1=O)C2(CCCC2)NCC=3C=CC=4C=CC=CC4C3,Z3016331812
CN1C=C(CN[C@H]2C=3C=CC=CC3C[C@@H]2O)C(=N1)C4CC4,Z2993217788
O=C(C=1C=CN=C(N1)C=2C=CC=CC2)N3CCC(=O)NCC43COC4,Z3053878992
CC1C2CCCCC2CN1C(=O)C=3C=C(F)C=C4CCNCC34,Z4422289345
CNC(=O)COC1CN(C1)C(=O)C=2C=CC=3N=C(NC3C2)C=4C=CC=CC4,Z3352005597
CN1CCN(CC1)C=2N=CC=CC2CNC3CCCC=4SC=NC43,Z2698799682
COC=1C=CC=2OCC(=CC2C1)C(=O)NCC=3C=CC=C(C3)CN4CCCC4=O,Z1389546308
ClC=1C=CC(=CC1)N2C=C(COC=3C=CC=4CNCC4C3)N=N2,Z5336753620
NC(=O)C=1C(F)=CC=CC1N2CCC(CC2)OCC3CC3,Z2970082243
O[C@@H]1C[C@H](O)CN(C1)C=2C=CC(=NN2)C=3C=CC=CC3Cl,Z2970125623
CNC(=O)C1CN(C1)C=2N=CN=C3C2C=NN3C=4C=CC=CC4F,Z2971212155
"COC(C)C1=NC(=CS1)CNC(=O)N[C@@H]2CC=3C=CC=CC3[C@H]2O |&1:14,22,r|",Z2971713555
CC=1C=C(N=C(N1)C2CCC2)NCC=3C=CC(=CC3C)S(N)(=O)=O,Z2971738293
O=C(N1CCCC1)C2(O)CCCN(C2)C=3C=CC(=CN3)C=4C=CN=CC4,Z2972161338
FC=1C=C(C=CN1)N2CCN(CC2)C=3C=C(N=CN3)C(F)F,Z2972565132
C1=NN(C=C1CN2CC(C2)C3CCOCC3)CC4CCC4,Z2972850761
CC1=NN(C(C)=C1CN2CCCC3(CCS(=O)(=O)C3)C2)C(C)C,Z2973675531
O=C(CNC(=O)N1CCCC1)NC2=NC(=CS2)C3=CC=CC(O)=C3,Z2974261816
CC1CCOCCN1C(=O)NCC2=NC(=NN2)C=3C=CC=CN3,Z2974349751
"C=C[C@@H]1OCC[C@H]1CNC(=O)N2CCOC(CS(C)(=O)=O)C2 |&1:2,6,r|",Z2974624242
"CC(C)(C)C1=COC(CNC(=O)N[C@@H]2C[C@H]2C3=CC=C(F)C=C3F)=N1 |&1:13,15,r|",Z2975354915
"O[C@H]1CCC(C[C@H]1O)NC2=CN=C3C=C(F)C(F)=CC3=N2 |&1:1,6,r|",Z2976668237
"CC=1C=CC=CC1C2=NSC(=N2)NC3CC[C@H](O)[C@H](O)C3 |&1:16,18,r|",Z2976669344
COC=1C=CC(=CN1)C2CCN(CC2)C(=O)C3=CN=C4SC=CN4C3=O,Z2981470573
C1=C(COC2CCCCO2)N=NN1[C@@H]3CCCC4=CC=CN=C43,Z2982767128
O=C(O)CCC1CCCN(C1)C2=NOC(CC=3C=CC(F)=CC3)=N2,Z2989395599
FC(F)(F)C=1C=CC(=CC1)CCN2N=NN=C2N3CCOCC3,Z2990116923
CN(C)C(=O)C=1C=NC=C(C1)C=2C=CC=3OCCC(C(=O)O)C3C2,Z2991031322
O=C1C=2C=CC=CC2N=CN1CC3CCCC(O3)C(F)(F)F,Z2991355610
CN(C)S(=O)(=O)C=1C=CC(=O)N(C1)CCNC(=O)C2CC2,Z2991417288
CC(=O)NC1(CCCCC1)C2=NOC(=N2)C3(C#N)CCSCC3,Z2992231396
O=C1CCC(CN1CC2CCC2)C3=NOC(=N3)C=4C=C(O)C=CN4,Z2992355976
CN(C)C=1C=CN=C(C1)C2=NC(=NO2)C=3C=NN(C3)CCF,Z2992416848
CN1N=C2CCCCC2=C1CNC=3C=C(C=CC3Cl)C(N)=O,Z2992598893
CNC(=O)C=1C=CC=C(C1)OCC2=NOC=3CCOCC23,Z2993553646
CCOC=1C=CC=C(N1)NS(=O)(=O)C2=CC=NN2C3CCC3,Z2996108077
"CC=1C(=COC1C(=O)N(C)C)S(=O)(=O)N[C@@]23CCC[C@H]3CNC2 |&1:15,19,r|",Z2996115794
CC1=C(C=NN1C)S(=O)(=O)NC2(COC2)C=3C=CC=CC3,Z2996248591
"COC=1C=CC=C(CC2=NOC(=N2)[C@@H]3C[C@H]3C=4C=CC(F)=CC4F)N1 |&1:13,15,r|",Z2997025288
COC=1C=CC(CC2=NC(=NO2)C=3C=CC(=NN3)OC)=C(C)C1,Z2997233577
CN1N=C(N=C1CC2=NOC(=N2)C=3C=CC(F)=C(C3)C(F)F)C4CC4,Z2997275597
FC=1C=CC=C(Cl)C1CCC2=NOC(=N2)C3(CC3)N4C=CC=N4,Z2997396563
CC1(CCNC(=O)C1)C2=NC(=NO2)C3=CSC(=C3)C(F)(F)F,Z2997407412
CC(C)CC1=CC=C(C2=NOC(=N2)C3CC=4C=CC=CC43)C(=O)N1,Z2997532154
"O=C(NC=1C=C(F)C=C(C1)N2CCOCC2)N[C@@]34CCC[C@H]4CNC3 |&1:17,21,r|",Z2997649822
COC=1C=CC=C2C(NC(=O)[C@H]3CCC(=O)N3C)=C(C)C=NC12,Z2998225876
CC1(C)C=CC=2C=CC=C(NCC(O)CC3(O)CCCC3)C2O1,Z2998845460
CC=1C=C(N=C(N1)NC(=O)C=2N=C3C=CC=CC3=CC2C4CC4)C5CC5,Z2999075573
CC=1N=CC=C(N1)C(=O)N(C2=NC=3C=CC=CC3O2)C4CC4,Z2999360705
CC1=CC(C)=NC(C)=C1C(=O)N(CC=2C=NN(C)C2)CC(C)C,Z2999455919
CN1N=C(C=C1C(=O)N2C=3C=CC=CC3CC2(C)C)C4=CC=CN=C4,Z2999971258
CC(C)N1C(=O)CC[C@H]1C(=O)NC=2N=CC=NC2C3CC3,Z3001985838
COC=1C=CC=2CCC(C(=O)NC=3N=CC=NC3C(C)C)C2C1,Z3001989292
CC=1C=CC=2C=CC=C(C2N1)S(=O)(=O)N3CCC=C(C3)C=4C=NN(C)C4,Z3009187874
CC=1C=C(C=CC1S(=O)(=O)N(C)C)NC(=O)C2CCCCO2,Z3016311397
"CC(NC(=O)[C@@H]1C[C@]1(C)C=2C=CC=CC2)C3=NN=C(N3)C(F)(F)F |&1:5,7,r|",Z3016311784
CCOC(=O)C1=CN(CC)N=C1NC(=O)CC2=CC=CO2,Z3016313898
CCC(CC)CN(CC)C(=O)C1=CN(N=N1)C(F)(F)CO,Z3016324232
COC(=O)[C@@H](CC1=CNC=N1)NS(=O)(=O)C2=CC=C(C)C(C)=C2,Z3016328431
CC=1ON=C(N)C1S(=O)(=O)N2CCCCC2CCN3C=CN=N3,Z3016329559
CC=1C=CC(=CC1S(=O)(=O)N2CC(C2)N3CCOCC3)[N+]([O-])=O,Z3016329600
NC(=O)C1(O)CCN(C1)C(=O)NC(C=2C=CC=CC2)C(F)(F)F,Z3016335710
CCOC=1C=CC=C(C1)NC(=O)N2CCN(C3CC3)C(C2)C(N)=O,Z3016335729
COC(=O)C1=NNC(NS(=O)(=O)C=2C=NN(C2)C(C)C)=C1Cl,Z3016338872
CN1C=C(C=N1)CCCNS(=O)(=O)C2=CC(C(=O)O)=C(Cl)O2,Z3016340647
CC1=CC=CC(C)=C1N2C=C(CNC(=O)C(F)(F)F)N=N2,Z3016340880
O=C(O)CCC1CC=2C=CC=CC2N(C1)S(=O)(=O)C3=CNC=N3,Z3016341054
CN(CC=1C(F)=CC=CC1Cl)C(=O)C2NCC=3N=CN=CC32,Z3019116159
O=C(NCC=1C=CC=C(C1)N2CCCC2=O)C3NCC=4N=CN=CC43,Z3019799545
CN1C=CN=C1C2(CNC(=O)C3=CC=C(CN4C=C(Cl)C=N4)S3)NC(=O)NC2=O,Z3024750460
CN1C=CN=C1C2(CNC(=O)C3=CC=C(C=4C=CC=CC4)N3C)NC(=O)NC2=O,Z3024750554
CCOC(=O)C=1NN=C(NC(=O)C=2C=CC(F)=C(C2)NC(C)=O)C1C,Z3026724764
CCC=1C=CC=CC1N2C=C(N=N2)C(=O)NC(C)C3=NN(C)C=C3O,Z3026724945
COC=1C=CC=C(C1)C(C)C(=O)N2CCC=3N=CC=C(O)C3C2,Z3026725012
CC(NC(=O)COCC1=NC=2C=CC=CC2S1)C=3C=NC=CN3,Z3026725153
CCCN(CC(=O)NC)S(=O)(=O)C1=CN=C2C=CC=CN12,Z3027211359
COCCOC=1C=CC=C(C1)C(=O)N(C)C=2C=CC(=CC2)C(=O)OC,Z3027248123
O=C(C1CS(=O)(=O)C1)N2CC3(CCNCC3)[C@H]4COC[C@H]42,Z3040252625
CC1(C)CN(C(=O)CN2CCCC2=O)C=3C=NC=CC3NC1=O,Z3040278454
CN1C=NC2=C1CCN(C(=O)CC3=CC=4C=CC=CC4N3C)C52CCOCC5,Z3040912144
CCC1=C(C=NN1C=2C=CC=CC2)NC(=O)N3CCN(CC)C4(CCOC4)C3,Z3043007209
CN1CCN(CC21CCOC2)C(=O)C=3C=CC=C4NC(=NC34)C5=CC=CS5,Z3043528159
"O=C(NC[C@@]12C[C@]2(CNC1)C(F)(F)F)N3CC=4C=CC=CC4C3 |&1:4,6,r|",Z3047228218
CC(C)(CC=1C=CC(O)=CC1)C(=O)N2CCC(C2)NS(C)(=O)=O,Z3049002267
NC(=O)NC(CO)C(=O)N1CCC(CC1)C=2C=CC=C(F)C2,Z3052017204
CS(=O)(=O)C1(CC1)C(=O)NCC=2C(F)=CC=CC2N3C=CC=N3,Z3052452858
